"term","chamber","name","leg_id"
"2011-2012","lower","COWSERT, 46TH","GAL000009"
"2011-2012","upper","COWSERT, 46TH","GAL000009"
"2011-2012","upper","CRAWFORD, 16TH","GAL000091"
"2011-2012","lower","CRAWFORD, 16TH","GAL000091"
"2011-2012","upper","CROSBY, 13TH","GAL000010"
"2011-2012","lower","CROSBY, 13TH","GAL000010"
,"lower","Dar'shun Kendrick","GAL000149"
"2011-2012","upper","DAVENPORT, 44TH","GAL000011"
"2011-2012","lower","DAVENPORT, 44TH","GAL000011"
"2011-2012","lower","DAVIS, 109TH","GAL000092"
"2011-2012","upper","DAVIS, 109TH","GAL000092"
"2011-2012","lower","DAVIS, 22ND","GAL000012"
"2011-2012","upper","DAVIS, 22ND","GAL000012"
"2011-2012","lower","DAWKINS-HAIGLER, 93RD","GAL000093"
"2011-2012","upper","DAWKINS-HAIGLER, 93RD","GAL000093"
"2011-2012","upper","DEMPSEY, 13TH","GAL000094"
"2011-2012","lower","DEMPSEY, 13TH","GAL000094"
"2011-2012","lower","DICKERSON, 95TH","GAL000095"
"2011-2012","upper","DICKERSON, 95TH","GAL000095"
"2011-2012","lower","Dickerson, Pam","GAL000095"
"2011-2012","upper","DICKEY, 136TH","GAL000096"
"2011-2012","lower","DICKEY, 136TH","GAL000096"
"2011-2012","upper","DICKSON, 6TH","GAL000097"
"2011-2012","lower","DICKSON, 6TH","GAL000097"
"2011-2012","lower","DOBBS, 53RD","GAL000098"
"2011-2012","upper","DOBBS, 53RD","GAL000098"
"2011-2012","upper","DOLLAR, 45TH","GAL000099"
"2011-2012","lower","DOLLAR, 45TH","GAL000099"
"2011-2012","lower","DRENNER, 86TH","GAL000100"
"2011-2012","upper","DRENNER, 86TH","GAL000100"
"2011-2012","upper","DUDGEON, 24TH","GAL000101"
"2011-2012","lower","DUDGEON, 24TH","GAL000101"
"2011-2012","upper","DUKES, 150TH","GAL000102"
"2011-2012","lower","DUKES, 150TH","GAL000102"
"2011-2012","upper","DUTTON, 166TH","GAL000103"
"2011-2012","lower","DUTTON, 166TH","GAL000103"
"2011-2012","upper","EHRHART, 36TH","GAL000104"
"2011-2012","lower","EHRHART, 36TH","GAL000104"
"2011-2012","lower","ENGLAND, 108TH","GAL000105"
"2011-2012","upper","ENGLAND, 108TH","GAL000105"
"2011-2012","lower","EPPS, 128TH","GAL000107"
"2011-2012","upper","EPPS, 128TH","GAL000107"
"2011-2012","lower","EPPS, 140TH","GAL000106"
"2011-2012","upper","EPPS, 140TH","GAL000106"
"2011-2012","lower","Epps, Carl","GAL000107"
"2011-2012","lower","Epps, James","GAL000106"
"2011-2012","upper","EVANS, 40TH","GAL000108"
"2011-2012","lower","EVANS, 40TH","GAL000108"
"2011-2012","upper","FLOYD, 99TH","GAL000109"
"2011-2012","lower","FLOYD, 99TH","GAL000109"
"2011-2012","upper","FLUDD, 66TH","GAL000110"
"2011-2012","lower","FLUDD, 66TH","GAL000110"
"2011-2012","upper","FORT, 39TH","GAL000013"
"2011-2012","lower","FORT, 39TH","GAL000013"
"2011-2012","lower","FRANKLIN, 43RD",
"2011-2012","upper","FRANKLIN, 43RD",
"2011-2012","lower","Franklin, Bobby",
"2011-2012","lower","FRAZIER, 123RD","GAL000111"
"2011-2012","upper","FRAZIER, 123RD","GAL000111"
"2011-2012","upper","FULLERTON, 151ST","GAL000112"
"2011-2012","lower","FULLERTON, 151ST","GAL000112"
"2011-2012","upper","GARDNER, 57TH","GAL000113"
"2011-2012","lower","GARDNER, 57TH","GAL000113"
"2011-2012","lower","GEISINGER, 48TH","GAL000114"
"2011-2012","upper","GEISINGER, 48TH","GAL000114"
"2011-2012","lower","GINN, 47TH","GAL000014"
"2011-2012","upper","GINN, 47TH","GAL000014"
"2011-2012","upper","GOGGANS, 7TH","GAL000015"
"2011-2012","lower","GOGGANS, 7TH","GAL000015"
"2011-2012","upper","GOLDEN, 8TH","GAL000016"
"2011-2012","lower","GOLDEN, 8TH","GAL000016"
"2011-2012","upper","GOLICK, 34TH","GAL000115"
"2011-2012","lower","GOLICK, 34TH","GAL000115"
"2011-2012","lower","GOOCH, 51ST","GAL000017"
"2011-2012","upper","GOOCH, 51ST","GAL000017"
"2011-2012","lower","GORDON, 162ND","GAL000116"
"2011-2012","upper","GORDON, 162ND","GAL000116"
"2011-2012","upper","GRANT, 25TH","GAL000018"
"2011-2012","lower","GRANT, 25TH","GAL000018"
"2011-2012","lower","GREENE, 149TH","GAL000117"
"2011-2012","upper","GREENE, 149TH","GAL000117"
"2011-2012","lower","HAMILTON, 23RD","GAL000118"
"2011-2012","upper","HAMILTON, 23RD","GAL000118"
"2011-2012","lower","HAMRICK, 30TH","GAL000019"
"2011-2012","upper","HAMRICK, 30TH","GAL000019"
,"lower","Hank Huckaby",
"2011-2012","lower","HANNER, 148TH","GAL000119"
"2011-2012","upper","HANNER, 148TH","GAL000119"
"2011-2012","lower","HARBIN, 118TH","GAL000120"
"2011-2012","upper","HARBIN, 118TH","GAL000120"
"2011-2012","upper","HARBISON, 15TH","GAL000020"
"2011-2012","lower","HARBISON, 15TH","GAL000020"
"2011-2012","lower","HARDEN, 147TH","GAL000121"
"2011-2012","upper","HARDEN, 147TH","GAL000121"
"2011-2012","lower","HARDEN, 28TH","GAL000122"
"2011-2012","upper","HARDEN, 28TH","GAL000122"
"2011-2012","upper","HARRELL, 106TH","GAL000123"
"2011-2012","lower","HARRELL, 106TH","GAL000123"
"2011-2012","lower","HATCHETT, 143RD","GAL000124"
"2011-2012","upper","HATCHETT, 143RD","GAL000124"
"2011-2012","upper","HATFIELD, 177TH","GAL000125"
"2011-2012","lower","HATFIELD, 177TH","GAL000125"
"2011-2012","lower","HEARD, 114TH","GAL000126"
"2011-2012","upper","HEARD, 114TH","GAL000126"
"2011-2012","upper","HEATH, 31ST","GAL000021"
"2011-2012","lower","HEATH, 31ST","GAL000021"
"2011-2012","upper","HECKSTALL, 62ND","GAL000127"
"2011-2012","lower","HECKSTALL, 62ND","GAL000127"
"2011-2012","upper","HEMBREE, 67TH","GAL000128"
"2011-2012","lower","HEMBREE, 67TH","GAL000128"
"2011-2012","lower","HENSON, 41ST","GAL000022"
"2011-2012","upper","HENSON, 41ST","GAL000022"
"2011-2012","upper","HENSON, 87TH","GAL000129"
"2011-2012","lower","HENSON, 87TH","GAL000129"
"2011-2012","lower","HILL, 21ST","GAL000130"
"2011-2012","upper","HILL, 21ST","GAL000130"
"2011-2012","upper","HILL, 32ND","GAL000024"
"2011-2012","lower","HILL, 32ND","GAL000024"
"2011-2012","lower","HILL, 4TH","GAL000023"
"2011-2012","upper","HILL, 4TH","GAL000023"
"2011-2012","upper","HOLCOMB, 82ND","GAL000131"
"2011-2012","lower","HOLCOMB, 82ND","GAL000131"
"2011-2012","lower","HOLMES, 125TH","GAL000132"
"2011-2012","upper","HOLMES, 125TH","GAL000132"
"2011-2012","upper","HOLT, 112TH","GAL000133"
"2011-2012","lower","HOLT, 112TH","GAL000133"
"2011-2012","upper","HOOKS, 14TH","GAL000025"
"2011-2012","lower","HOOKS, 14TH","GAL000025"
"2011-2012","lower","HORNE, 71ST","GAL000134"
"2011-2012","upper","HORNE, 71ST","GAL000134"
"2011-2012","upper","HOUSTON, 170TH","GAL000135"
"2011-2012","lower","HOUSTON, 170TH","GAL000135"
"2011-2012","upper","HOWARD, 121ST","GAL000136"
"2011-2012","lower","HOWARD, 121ST","GAL000136"
"2011-2012","lower","Howard, Henry Wayne","GAL000136"
"2011-2012","upper","HUCKABY, 113TH",
"2011-2012","lower","HUCKABY, 113TH",
"2011-2012","lower","Huckaby, Hank",
"2011-2012","lower","HUDSON, 124TH","GAL000137"
"2011-2012","upper","HUDSON, 124TH","GAL000137"
"2011-2012","lower","HUGLEY, 133RD","GAL000138"
"2011-2012","upper","HUGLEY, 133RD","GAL000138"
"2011-2012","lower","JACKSON, 142ND","GAL000139"
"2011-2012","upper","JACKSON, 142ND","GAL000139"
"2011-2012","upper","JACKSON, 24TH","GAL000026"
"2011-2012","lower","JACKSON, 24TH","GAL000026"
"2011-2012","lower","JACKSON, 2ND","GAL000027"
"2011-2012","upper","JACKSON, 2ND","GAL000027"
"2011-2012","upper","Jackson, Lester","GAL000027"
"2011-2012","lower","JACOBS, 80TH","GAL000140"
"2011-2012","upper","JACOBS, 80TH","GAL000140"
"2011-2012","lower","JAMES, 135TH","GAL000141"
"2011-2012","upper","JAMES, 135TH","GAL000141"
"2011-2012","upper","JAMES, 35TH","GAL000028"
"2011-2012","lower","JAMES, 35TH","GAL000028"
"2011-2012","upper","JASPERSE, 12TH","GAL000142"
"2011-2012","lower","JASPERSE, 12TH","GAL000142"
"2011-2012","lower","JEFFARES, 17TH","GAL000029"
"2011-2012","upper","JEFFARES, 17TH","GAL000029"
"2011-2012","upper","JERGUSON, 22ND","GAL000143"
"2011-2012","lower","JERGUSON, 22ND","GAL000143"
"2011-2012","upper","JOHNSON, 37TH","GAL000144"
"2011-2012","lower","JOHNSON, 37TH","GAL000144"
"2011-2012","upper","JONES, 10TH","GAL000030"
"2011-2012","lower","JONES, 10TH","GAL000030"
"2011-2012","lower","JONES, 44TH","GAL000146"
"2011-2012","upper","JONES, 44TH","GAL000146"
"2011-2012","lower","JONES, 46TH","GAL000145"
"2011-2012","upper","JONES, 46TH","GAL000145"
"2011-2012","lower","JORDAN, 77TH","GAL000147"
"2011-2012","upper","JORDAN, 77TH","GAL000147"
"2011-2012","upper","KAISER, 59TH","GAL000148"
"2011-2012","lower","KAISER, 59TH","GAL000148"
"2011-2012","upper","KENDRICK, 94TH","GAL000149"
"2011-2012","lower","KENDRICK, 94TH","GAL000149"
"2011-2012","lower","Kendrick, Dar'shun","GAL000149"
"2011-2012","lower","KIDD, 141ST","GAL000150"
"2011-2012","upper","KIDD, 141ST","GAL000150"
"2011-2012","lower","Kidd, E. Culver Rusty","GAL000150"
"2011-2012","upper","KNIGHT, 126TH","GAL000151"
"2011-2012","lower","KNIGHT, 126TH","GAL000151"
"2011-2012","lower","LANE, 167TH","GAL000152"
"2011-2012","upper","LANE, 167TH","GAL000152"
,"lower","Larry O'Neal","GAL000177"
"2011-2012","upper","Ligon,  Jr., William","GAL000031"
"2011-2012","lower","Ligon,  Jr., William","GAL000031"
"2011-2012","lower","LIGON, JR., 3RD","GAL000031"
"2011-2012","upper","LIGON, JR., 3RD","GAL000031"
,"upper","Ligon, Jr., William T.","GAL000031"
"2011-2012","lower","LINDSEY, 54TH","GAL000153"
"2011-2012","upper","LINDSEY, 54TH","GAL000153"
"2011-2012","upper","LONG, 61ST","GAL000154"
"2011-2012","lower","LONG, 61ST","GAL000154"
"2011-2012","lower","LOUDERMILK, 52ND","GAL000032"
"2011-2012","upper","LOUDERMILK, 52ND","GAL000032"
"2011-2012","lower","LUCAS, 139TH",
"2011-2012","upper","LUCAS, 139TH",
"2011-2012","lower","Lucas, David",
"2011-2012","upper","MADDOX, 127TH","GAL000155"
"2011-2012","lower","MADDOX, 127TH","GAL000155"
"2011-2012","lower","MADDOX, 172ND","GAL000156"
"2011-2012","upper","MADDOX, 172ND","GAL000156"
"2011-2012","upper","MANNING, 32ND","GAL000157"
"2011-2012","lower","MANNING, 32ND","GAL000157"
"2011-2012","upper","MARIN, 96TH","GAL000158"
"2011-2012","lower","MARIN, 96TH","GAL000158"
"2011-2012","lower","Marin, Pedro","GAL000158"
"2011-2012","upper","MARTIN, 47TH","GAL000159"
"2011-2012","lower","MARTIN, 47TH","GAL000159"
"2011-2012","lower","Martin, Charles","GAL000159"
"2011-2012","upper","MAXWELL, 17TH","GAL000160"
"2011-2012","lower","MAXWELL, 17TH","GAL000160"
"2011-2012","lower","MAYO, 91ST","GAL000161"
"2011-2012","upper","MAYO, 91ST","GAL000161"
"2011-2012","lower","MCBRAYER, 153RD","GAL000162"
"2011-2012","upper","MCBRAYER, 153RD","GAL000162"
"2011-2012","lower","MCCALL, 30TH","GAL000163"
"2011-2012","upper","MCCALL, 30TH","GAL000163"
"2011-2012","lower","MCKILLIP, 115TH","GAL000164"
"2011-2012","upper","MCKILLIP, 115TH","GAL000164"
"2011-2012","upper","MCKOON, 29TH","GAL000033"
"2011-2012","lower","MCKOON, 29TH","GAL000033"
"2011-2012","lower","MEADOWS, 5TH","GAL000165"
"2011-2012","upper","MEADOWS, 5TH","GAL000165"
,"lower","Michelle Henson","GAL000129"
"2011-2012","lower","MILLAR, 40TH","GAL000034"
"2011-2012","upper","MILLAR, 40TH","GAL000034"
"2011-2012","lower","MILLER, 49TH","GAL000035"
"2011-2012","upper","MILLER, 49TH","GAL000035"
"2011-2012","upper","MILLS, 25TH","GAL000166"
"2011-2012","lower","MILLS, 25TH","GAL000166"
"2011-2012","upper","MITCHELL, 88TH","GAL000167"
"2011-2012","lower","MITCHELL, 88TH","GAL000167"
"2011-2012","lower","MORGAN, 39TH","GAL000168"
"2011-2012","upper","MORGAN, 39TH","GAL000168"
"2011-2012","upper","MORRIS, 155TH","GAL000169"
"2011-2012","lower","MORRIS, 155TH","GAL000169"
"2011-2012","lower","MOSBY, 90TH","GAL000170"
"2011-2012","upper","MOSBY, 90TH","GAL000170"
"2011-2012","lower","MULLIS, 53RD","GAL000036"
"2011-2012","upper","MULLIS, 53RD","GAL000036"
"2011-2012","upper","MURPHY, 120TH","GAL000171"
"2011-2012","lower","MURPHY, 120TH","GAL000171"
"2011-2012","lower","MURPHY, 27TH","GAL000037"
"2011-2012","upper","MURPHY, 27TH","GAL000037"
"2011-2012","lower","NEAL, 1ST","GAL000172"
"2011-2012","upper","NEAL, 1ST","GAL000172"
"2011-2012","lower","NEAL, 75TH","GAL000173"
"2011-2012","upper","NEAL, 75TH","GAL000173"
"2011-2012","lower","NIMMER, 178TH","GAL000174"
"2011-2012","upper","NIMMER, 178TH","GAL000174"
"2011-2012","upper","NIX, 69TH","GAL000175"
"2011-2012","lower","NIX, 69TH","GAL000175"
"2011-2012","lower","O`NEAL, 146TH",
"2011-2012","upper","O`NEAL, 146TH",
"2011-2012","lower","O`Neal, Larry",
"2011-2012","lower","OLIVER, 83RD","GAL000176"
"2011-2012","upper","OLIVER, 83RD","GAL000176"
"2011-2012","lower","Oliver, Mary","GAL000176"
"2011-2012","lower","ORROCK, 36TH","GAL000038"
"2011-2012","upper","ORROCK, 36TH","GAL000038"
"2011-2012","lower","PAK, 102ND","GAL000178"
"2011-2012","upper","PAK, 102ND","GAL000178"
"2011-2012","upper","PARENT, 81ST","GAL000179"
"2011-2012","lower","PARENT, 81ST","GAL000179"
"2011-2012","lower","PARIS, 26TH","GAL000039"
"2011-2012","upper","PARRISH, 156TH","GAL000180"
"2011-2012","lower","PARRISH, 156TH","GAL000180"
"2011-2012","lower","PARSONS, 42ND","GAL000181"
"2011-2012","upper","PARSONS, 42ND","GAL000181"
"2011-2012","lower","PEAKE, 137TH","GAL000182"
"2011-2012","upper","PEAKE, 137TH","GAL000182"
,"lower","Pete ""Pedro"" Marin","GAL000158"
"2011-2012","lower","POWELL, 171ST","GAL000184"
"2011-2012","upper","POWELL, 171ST","GAL000184"
"2011-2012","upper","POWELL, 29TH","GAL000183"
"2011-2012","lower","POWELL, 29TH","GAL000183"
"2011-2012","upper","PRUETT, 144TH","GAL000185"
"2011-2012","lower","PRUETT, 144TH","GAL000185"
"2011-2012","lower","PURCELL, 159TH","GAL000186"
"2011-2012","upper","PURCELL, 159TH","GAL000186"
"2011-2012","upper","RALSTON, 7TH","GAL000187"
"2011-2012","lower","RALSTON, 7TH","GAL000187"
"2011-2012","upper","Ramsey,  Sr., Ronald","GAL000040"
"2011-2012","lower","RAMSEY, 72ND","GAL000188"
"2011-2012","upper","RAMSEY, 72ND","GAL000188"
"2011-2012","lower","RAMSEY, SR., 43RD","GAL000040"
"2011-2012","upper","RAMSEY, SR., 43RD","GAL000040"
,"upper","Ramsey, Sr., Ronald B.","GAL000040"
"2011-2012","lower","RANDALL, 138TH","GAL000189"
"2011-2012","upper","RANDALL, 138TH","GAL000189"
"2011-2012","upper","REECE, 11TH","GAL000190"
"2011-2012","lower","REECE, 11TH","GAL000190"
"2011-2012","lower","Reece, Barbara","GAL000190"
"2011-2012","lower","RICE, 51ST","GAL000191"
"2011-2012","upper","RICE, 51ST","GAL000191"
,"lower","Richard Smith","GAL000206"
"2011-2012","lower","RILEY, 50TH","GAL000192"
"2011-2012","upper","RILEY, 50TH","GAL000192"
"2011-2012","lower","ROBERTS, 154TH","GAL000193"
"2011-2012","upper","ROBERTS, 154TH","GAL000193"
"2011-2012","upper","ROGERS, 21ST","GAL000041"
"2011-2012","lower","ROGERS, 21ST","GAL000041"
"2011-2012","upper","ROGERS, 26TH","GAL000194"
"2011-2012","lower","ROGERS, 26TH","GAL000194"
,"lower","Rusty Kidd","GAL000150"
"2011-2012","lower","RYNDERS, 152ND","GAL000195"
"2011-2012","upper","RYNDERS, 152ND","GAL000195"
"2011-2012","lower","SCOTT, 2ND","GAL000196"
"2011-2012","upper","SCOTT, 2ND","GAL000196"
"2011-2012","lower","SCOTT, 76TH","GAL000197"
"2011-2012","upper","SCOTT, 76TH","GAL000197"
"2011-2012","lower","SEABAUGH, 28TH",
"2011-2012","upper","SEABAUGH, 28TH",
"2011-2012","lower","Seabaugh, Mitch",
,"upper","Seabaugh, Mitch",
"2011-2012","upper","Seabaugh, Mitch",
"2011-2012","upper","SEAY, 34TH","GAL000042"
"2011-2012","lower","SEAY, 34TH","GAL000042"
"2011-2012","upper","SETZLER, 35TH","GAL000198"
"2011-2012","lower","SETZLER, 35TH","GAL000198"
"2011-2012","lower","SHAFER, 48TH","GAL000043"
"2011-2012","upper","SHAFER, 48TH","GAL000043"
"2011-2012","upper","SHAW, 176TH","GAL000199"
"2011-2012","lower","SHAW, 176TH","GAL000199"
"2011-2012","lower","SHELDON, 105TH","GAL000200"
"2011-2012","upper","SHELDON, 105TH","GAL000200"
"2011-2012","upper","SIMS, 119TH","GAL000201"
"2011-2012","lower","SIMS, 119TH","GAL000201"
"2011-2012","upper","SIMS, 12TH","GAL000044"
"2011-2012","lower","SIMS, 12TH","GAL000044"
"2011-2012","lower","SIMS, 169TH","GAL000202"
"2011-2012","upper","SIMS, 169TH","GAL000202"
"2011-2012","upper","Sims, Freddie","GAL000044"
"2011-2012","lower","Sims, Freddie","GAL000044"
"2011-2012","lower","SMITH, 122ND","GAL000203"
"2011-2012","upper","SMITH, 122ND","GAL000203"
"2011-2012","lower","SMITH, 129TH","GAL000204"
"2011-2012","upper","SMITH, 129TH","GAL000204"
"2011-2012","upper","SMITH, 131ST","GAL000206"
"2011-2012","lower","SMITH, 131ST","GAL000206"
"2011-2012","lower","SMITH, 168TH","GAL000207"
"2011-2012","upper","SMITH, 168TH","GAL000207"
"2011-2012","upper","SMITH, 70TH","GAL000205"
"2011-2012","lower","SMITH, 70TH","GAL000205"
"2011-2012","lower","Smith, Richard","GAL000206"
"2011-2012","upper","SMYRE, 132ND","GAL000208"
"2011-2012","lower","SMYRE, 132ND","GAL000208"
"2011-2012","upper","SPENCER, 180TH","GAL000209"
"2011-2012","lower","SPENCER, 180TH","GAL000209"
"2011-2012","lower","STATON, 18TH","GAL000045"
"2011-2012","upper","STATON, 18TH","GAL000045"
"2011-2012","lower","STEPHENS, 161ST","GAL000210"
"2011-2012","upper","STEPHENS, 161ST","GAL000210"
"2011-2012","lower","STEPHENS, 164TH","GAL000211"
"2011-2012","upper","STEPHENS, 164TH","GAL000211"
"2011-2012","lower","STEPHENSON, 92ND","GAL000212"
"2011-2012","upper","STEPHENSON, 92ND","GAL000212"
"2011-2012","upper","STONE, 23RD","GAL000046"
"2011-2012","lower","STONE, 23RD","GAL000046"
"2011-2012","upper","STONER, 6TH","GAL000047"
"2011-2012","lower","STONER, 6TH","GAL000047"
"2011-2012","lower","TALTON, 145TH","GAL000213"
"2011-2012","upper","TALTON, 145TH","GAL000213"
"2011-2012","lower","TANKERSLEY, 158TH","GAL000214"
"2011-2012","upper","TANKERSLEY, 158TH","GAL000214"
"2011-2012","upper","TATE, 38TH","GAL000048"
"2011-2012","lower","TATE, 38TH","GAL000048"
"2011-2012","lower","TAYLOR, 173RD","GAL000215"
"2011-2012","upper","TAYLOR, 173RD","GAL000215"
"2011-2012","lower","TAYLOR, 55TH","GAL000216"
"2011-2012","upper","TAYLOR, 55TH","GAL000216"
"2011-2012","upper","TAYLOR, 79TH","GAL000217"
"2011-2012","lower","TAYLOR, 79TH","GAL000217"
"2011-2012","upper","TEASLEY, 38TH","GAL000218"
"2011-2012","lower","TEASLEY, 38TH","GAL000218"
"2011-2012","upper","THOMAS, 100TH","GAL000219"
"2011-2012","lower","THOMAS, 100TH","GAL000219"
"2011-2012","lower","THOMPSON, 33RD","GAL000050"
"2011-2012","upper","THOMPSON, 33RD","GAL000050"
"2011-2012","upper","THOMPSON, 5TH","GAL000049"
"2011-2012","lower","THOMPSON, 5TH","GAL000049"
,"lower","Tim Bearden","GAL000065"
"2011-2012","lower","TINUBU, 60TH","GAL000220"
"2011-2012","upper","TINUBU, 60TH","GAL000220"
"2011-2012","lower","TIPPINS, 37TH","GAL000051"
"2011-2012","upper","TIPPINS, 37TH","GAL000051"
"2011-2012","lower","TOLLESON, 20TH","GAL000052"
"2011-2012","upper","TOLLESON, 20TH","GAL000052"
"2011-2012","upper","UNTERMAN, 45TH","GAL000053"
"2011-2012","lower","UNTERMAN, 45TH","GAL000053"
"2011-2012","upper","Unterman, Renee","GAL000053"
"2011-2012","lower","Unterman, Renee","GAL000053"
"2011-2012","upper","VACANT",
"2011-2012","lower","VACANT",
,"lower","Valeria Clark","GAL000085"
"2011-2012","upper","WALKER, 107TH","GAL000221"
"2011-2012","lower","WALKER, 107TH","GAL000221"
"2011-2012","lower","WATSON, 163RD","GAL000222"
"2011-2012","upper","WATSON, 163RD","GAL000222"
"2011-2012","lower","WELCH, 110TH","GAL000223"
"2011-2012","upper","WELCH, 110TH","GAL000223"
"2011-2012","lower","Welch, Andrew","GAL000223"
"2011-2012","lower","WELDON, 3RD","GAL000224"
