state,abbr,planned phase,maintainer,priority,next session,2013 data live?,scraping again?,notes,population,lower members list,lower ballotpedia 2012 results,upper members list,upper ballotpedia 2012 results
Georgia,ga,phase 3,paultag,B,,yes(ish) - missing Committees - 1/03,no,hold off until scrape passes (intentional string index exception),9815210,http://www.house.ga.gov/Representatives/en-US/HouseMembersList.aspx,"http://ballotpedia.org/wiki/index.php/Georgia_House_of_Representatives_elections,_2012",http://www.senate.ga.gov/senators/en-US/SenateMembersList.aspx,"http://ballotpedia.org/wiki/index.php/Georgia_State_Senate_elections,_2012"
Hawaii,hi,live,paultag,B,,no - 11/30,,,1374810,http://www.capitol.hawaii.gov/members/legislators.aspx?chamber=H,"http://ballotpedia.org/wiki/index.php/Hawaii_House_of_Representatives_elections,_2012",http://www.capitol.hawaii.gov/members/legislators.aspx?chamber=S,"http://ballotpedia.org/wiki/index.php/Hawaii_State_Senate_elections,_2012"
Idaho,id,live,paultag,B,,no - 11/30,,,1584985,http://legislature.idaho.gov/house/membership.cfm,"http://ballotpedia.org/wiki/index.php/Idaho_House_of_Representatives_elections,_2012",http://legislature.idaho.gov/senate/membership.cfm,"http://ballotpedia.org/wiki/index.php/Idaho_State_Senate_elections,_2012"
Illinois,il,live,thom,A,1/9/2013,no - 1/2,,Multiple retirees still present.,12869257,http://www.ilga.gov/house/,"http://ballotpedia.org/wiki/index.php/Illinois_House_of_Representatives_elections,_2012",http://www.ilga.gov/senate/,"http://ballotpedia.org/wiki/index.php/Illinois_State_Senate_elections,_2012"
Indiana,in,live,Thom,A,1/15/2013,no,,"legs list page updated, but some profile pages are (completely) empty",6516922,http://www.in.gov/cgi-bin/legislative/listing/listing-2.pl?data=alpha&chamber=House,"http://ballotpedia.org/wiki/index.php/Indiana_House_of_Representatives_elections,_2fry012",http://www.in.gov/cgi-bin/legislative/listing/listing-2.pl?data=alpha&chamber=Senate,"http://ballotpedia.org/wiki/index.php/Indiana_State_Senate_elections,_2012"
Iowa,ia,live,paultag,B,1/14/2013,no - 11/30,,,3062309,https://www.legis.iowa.gov/Legislators/house.aspx,"http://ballotpedia.org/wiki/index.php/Iowa_House_of_Representatives_elections,_2012",https://www.legis.iowa.gov/Legislators/senate.aspx,"http://ballotpedia.org/wiki/index.php/Iowa_State_Senate_elections,_2012"
Kansas,ks,phase 3,james,B,1/14/2013,no - 12/7,,,2871238,http://www.kslegislature.org/li/b2011_12/chamber/house/,"http://ballotpedia.org/wiki/index.php/Kansas_House_of_Representatives_elections,_2012",http://www.kslegislature.org/li/b2011_12/chamber/senate/,"http://ballotpedia.org/wiki/index.php/Kansas_State_Senate_elections,_2012"
Kentucky,ky,live,james,A,1/8/2013,no - 12/7,,,4369356,http://www.lrc.ky.gov/house/hsemembers.htm,"http://ballotpedia.org/wiki/index.php/Kentucky_House_of_Representatives_elections,_2012",http://www.lrc.ky.gov/senate/senmembers.htm,"http://ballotpedia.org/wiki/index.php/Kentucky_State_Senate_elections,_2012"
Louisiana,la,live,paultag,C,4/8/2013,no - 11/30,,,4574836,http://house.louisiana.gov/H_Reps/H_Reps_ByName.asp,,http://senate.la.gov/Senators/,
Maine,me,phase 3,thom,A,12/5/2013,yes - 1/2,only legislators; no bills or committees yet,senators not updated yet,1328188,http://www.maine.gov/legis/house/hbiolist.htm,"http://ballotpedia.org/wiki/index.php/Maine_House_of_Representatives_elections,_2012",http://www.maine.gov/legis/senate/Senator-District-List.html,"http://ballotpedia.org/wiki/index.php/Maine_State_Senate_elections,_2012"
Maryland,md,live,james,A,1/9/2013,new site coming - transition in place,,,5828289,http://mgaleg.maryland.gov/webmga/frmmain.aspx?pid=legisrpage&tab=subject6,,http://mgaleg.maryland.gov/webmga/frmmain.aspx?pid=legisrpage&tab=subject6,
Massachusetts,ma,live,thom,A,1/2/2013,"no - 1/2 - several newly elected missing - bills not working, leg breaks on missing districts on a few blank pages",only legislators; no bills or committees yet,,6587536,http://www.malegislature.gov/People/House,"http://ballotpedia.org/wiki/index.php/Massachusetts_House_of_Representatives_elections,_2012",http://www.malegislature.gov/People/Senate,"http://ballotpedia.org/wiki/index.php/Massachusetts_State_Senate_elections,_2012"
Michigan,mi,phase 3,james,B,,no,yes,,9876187,http://house.michigan.gov/mhrpublic/frmRepList.aspx,"http://ballotpedia.org/wiki/index.php/Michigan_House_of_Representatives_elections,_2012",http://www.senate.michigan.gov/members/alphamemberlist.htm,
Minnesota,mn,live,james,A,1/8/2013,no - 12/7,,new site?,5344861,http://www.house.leg.state.mn.us/members/hmem.asp,"http://ballotpedia.org/wiki/index.php/Minnesota_House_of_Representatives_elections,_2012",http://www.senate.leg.state.mn.us/members/index.php?ls=#header,"http://ballotpedia.org/wiki/index.php/Minnesota_State_Senate_elections,_2012"
Mississippi,ms,live,paultag,A,1/8/2013,no - no bills? - 1/03 - fails due to missing data,no,,2978512,http://billstatus.ls.state.ms.us/members/hr_membs.xml,,http://billstatus.ls.state.ms.us/members/ss_membs.xml,
Missouri,mo,phase 3,paultag,A,1/9/2013,no - 1/03 - fails due to missing data,no,,6010688,http://house.mo.gov/member.aspx,"http://ballotpedia.org/wiki/index.php/Minnesota_House_of_Representatives_elections,_2012",http://www.senate.mo.gov/12info/senalpha.htm,"http://ballotpedia.org/wiki/index.php/Missouri_State_Senate_elections,_2012"
Montana,mt,live,thom,A,1/7/2013,yes - 1/2,no--committees html not live,,998199,http://leg.mt.gov/css/Sessions/63rd/roster.asp?HouseID=1&SessionID=107,"http://ballotpedia.org/wiki/index.php/Montana_House_of_Representatives_elections,_2012",http://leg.mt.gov/css/Sessions/63rd/roster.asp?HouseID=2&SessionID=107,"http://ballotpedia.org/wiki/index.php/Montana_State_Senate_elections,_2012"
Nebraska,ne,live,james,A,1/9/2013,no - 12/7,,,1842641,,,http://nebraskalegislature.gov/pdf/senators/2013_senators.pdf,"http://ballotpedia.org/wiki/index.php/Nebraska_State_Senate_elections,_2012"
Nevada,nv,phase 3,james,C,2/4/2013,partial? http://www.leg.state.nv.us/Session/77th2013/Legislators/77NewAlpha.cfm,,,2723322,http://www.leg.state.nv.us/App/Legislator/A/Assembly/,"http://ballotpedia.org/wiki/index.php/Nevada_State_Assembly_elections,_2012",http://www.leg.state.nv.us/App/Legislator/A/Senate/,"http://ballotpedia.org/wiki/index.php/Nevada_State_Senate_elections,_2012"
New Hampshire,nh,live,thom,A,1/2/2013,yes 1/2,,"legislators, no bills",1318194,http://www.gencourt.state.nh.us/house/members/memberlookup.aspx,"http://ballotpedia.org/wiki/index.php/New_Hampshire_House_of_Representatives_elections,_2012",http://www.gencourt.state.nh.us/Senate/members/senate_roster.aspx,"http://ballotpedia.org/wiki/index.php/New_Hampshire_State_Senate_elections,_2012"
New Jersey,nj,live,james,A,,,yes,,8821155,http://www.njleg.state.nj.us/members/abcroster.asp,,http://www.njleg.state.nj.us/members/abcroster.asp,
New Mexico,nm,live,paultag,B,1/15/2013,no - 11/30 - no election,,,2082224,http://www.nmlegis.gov/lcs/lcsdocs/handbook/HouseMailingList.PDF,"http://ballotpedia.org/wiki/index.php/New_Mexico_House_of_Representatives_elections,_2012",http://www.nmlegis.gov/lcs/lcsdocs/handbook/SenateMailingList.PDF,"http://ballotpedia.org/wiki/index.php/New_Mexico_State_Senate_elections,_2012"
New York,ny,phase 3,thom,B,1/9/2013 (est),yes - 1/2,yes,,19465197,http://assembly.state.ny.us/mem/,"http://ballotpedia.org/wiki/index.php/New_York_State_Assembly_elections,_2012",http://www.nysenate.gov/senators,"http://ballotpedia.org/wiki/index.php/New_York_State_Senate_elections,_2012"
